Topic,Question,Answer,Options,DifficultyFromQuestioner
Python,What is the purpose of 'len()'?,Length,a) Length b) List c) Loop d) Library,Easy
Python,Explain a 'list' in Python.,Collection,a) Function b) Collection c) Condition d) Variable,Easy
Python,What does the 'print()' function do?,Display,a) Input b) Output c) Read d) Write,Easy
Python,What does 'if' statement do?,Condition,a) Loop b) Function c) Input d) Condition,Intermediate
Python,What is a 'tuple' in Python?,Immutable,a) Mutable b) Immutable c) List d) Loop,Intermediate
Python,What is the purpose of 'range()' function?,Sequence,a) Print b) Loop c) Input d) Sequence,Intermediate
Python,What is a 'dictionary' in Python?,Key-value,a) List b) Tuple c) Dictionary d) Set,Intermediate
Python,What is 'OOP'?,Paradigm,a) Object b) Oriented c) Programming d) Paradigm,Advanced
Python,What is 'lambda' function?,Anonymous,a) Named b) Anonymous c) Recursive d) Built-in,Advanced
Python,What is 'PEP 8'?,Style,a) Python b) Enhancement c) Proposal d) Style,Advanced
HTML,What does HTML stand for?,Hypertext,a) High Text Markup Language b) Hypertext Markup Language c) Hyper Transfer Markup Language d) Hyperlink and Text Markup Language,Easy
HTML,What is an 'element' in HTML?,Tag,a) Link b) Tag c) Attribute d) Property,Easy
HTML,What is the purpose of an 'anchor' tag?,Link,a) Image b) Paragraph c) Link d) Heading,Intermediate
HTML,What does 'form' tag do?,Input,a) Submit b) Input c) Display d) Style,Intermediate
HTML,What does the 'head' section contain?,Metadata,a) Data b) Content c) Metadata d) Styles,Intermediate
HTML,What does the 'alt' attribute provide?,Description,a) Alternative b) Alternative text c) Alternate d) Description,Intermediate
HTML,What is the 'doctype' declaration for HTML5?,<!DOCTYPE html>,a) <!HTML> b) <!DOCTYPE html5> c) <!html> d) <!DOCTYPE html>,Intermediate
HTML,What does 'CSS' stand for?,Stylesheet,a) Cascading Style System b) Computer Styling System c) Creative Styling Sheet d) Cascading Stylesheet,Intermediate
HTML,Which tag defines an unordered list?,<ul>,a) <ol> b) <list> c) <ul> d) <unordered>,Intermediate
HTML,Which tag creates a hyperlink?,<a>,a) <link> b) <a> c) <hlink> d) <hyper>,Intermediate
API,What is 'authentication' in APIs?,Security,a) Authorization b) Verification c) Security d) Access,Advanced
API,Which HTTP method is used for updating data?,PUT,a) POST b) GET c) PUT d) DELETE,Intermediate
API,What is the purpose of 'rate limiting' in APIs?,Throttling,a) Speeding up b) Delaying c) Throttling d) Canceling,Intermediate
API,What does 'JSON Web Token (JWT)' provide?,Authorization,a) Data storage b) Authentication c) Security d) Authorization,Advanced
API,What is the main advantage of 'RESTful' APIs?,Scalability,a) Complexity b) Scalability c) Security d) Accessibility,Advanced
Machine Learning,What is 'supervised learning'?,Labels,a) Unlabeled data b) Labels c) Clusters d) Patterns,Intermediate
